Category,Item,Vendor,URL,Unit Cost,Quantity,Total Cost,Notes
Frame,2020 90 degree plates,Amazon,https://www.amazon.com/Boeray-10pcs-Joining-Aluminum-Profile/dp/B076DNR5DY,$15.99,2,$31.98,"20 total, all will be used"
Frame,2020 tee plates,Amazon,https://www.amazon.com/Boeray-10pcs-Aluminum-Joining-Profile/dp/B076CXZPG7,$9.99,1,$9.99,"10-pack, 2 will be used"
Frame,2020 20mm corner brackets,Amazon,https://www.amazon.com/Qjaiune-Aluminum-Extrusion-Brackets-Connector/dp/B09G6KRZ1H,$8.99,1,$8.99,"10-pack, 8 will be used"
Frame,2020 M5 slide-in T-nuts,Amazon,https://www.amazon.com/KOOTANS-Assembly-Fastener-Aluminum-Extrusion/dp/B07PQ13LCQ,$14.59,3,$43.77,"300 total, 207 will be used"
Frame,M5 8mm screws,Amazon,https://www.amazon.com/M5-0-8-Button-Socket-Stainless-Quantity/dp/B084MMND2L,$8.99,2,$17.98,"200 total, 158 will be used"
Frame,M5 10mm screws,Amazon,https://www.amazon.com/M5-0-8-Button-Socket-Stainless-Quantity/dp/B07NVHPPBC,$9.29,1,$9.29,"100 total, 49 will be used"
Frame,2020 M5 roll-in T-nuts,Amazon,https://www.amazon.com/100-Pack-Aluminum-Extrusions-Profile-Accessories/dp/B07VHNGBWJ,$16.68,1,$16.68,"100-pack, can be useful if you forget to pre-install a slide-in T-nut"
Frame,6mm clear acrylic sheet (450 x 410 mm),TAP Plastics,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/acrylic_sheets_clear/508,$23.60,1,$23.60,For the laser-cut bottom acrylic plate
Frame,3mm white acrylic sheet (450 x 410 mm),TAP Plastics,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/acrylic_sheets_color/341,$15.00,1,$15.00,"For the laser-cut top acrylic plate. The exact color we used was ""Lightning White 45%""."
Arm mounting hardware,2020 M6 roll-in T-nuts,Amazon,https://www.amazon.com/Rierdge-European-Standard-Aluminum-Extrusion/dp/B0B7RR2W69,$11.99,1,$11.99,For securing the ARX5 mounting plate to the frame
Arm mounting hardware,M6 16mm screws,Amazon,https://www.amazon.com/Socket-Screws-Metric-Machine-Thread/dp/B0BHZTQTK4,$8.54,1,$8.54,For securing the ARX5 mounting plate to the frame
Arm mounting hardware,M3 100mm screws,Amazon,https://www.amazon.com/iexcell-Thread-Stainless-Socket-Screws/dp/B0D5LQH3X5,$9.98,1,$9.98,For installing a riser between the base of the ARX5 arm and the mounting plate
Accessories,Rope ratchets,Amazon,https://www.amazon.com/VIPARSPECTRA-Retractable-Ratchet-Carabiner-Tie-Down/dp/B07Z613ZM2,$22.99,1,$22.99,For securing components to the frame to prevent movement during operation
Accessories,Cable sleeves,Amazon,https://www.amazon.com/Alex-Tech-25ft-Protector-Sleeving/dp/B07FW3GTXB,$8.99,1,$8.99,For organizing CAN bus cables
Accessories,Velcro cable ties,Amazon,https://www.amazon.com/VELCRO-Brand-Cable-Ties-100Pk/dp/B001E1Y5O6,$10.98,1,$10.98,
Accessories,Zip ties,Amazon,https://www.amazon.com/Tensile-Strength-indoor-outdoor-Skalon/dp/B09PJ8L58G,$3.99,1,$3.99,
Accessories,USB hub,Amazon,https://www.amazon.com/Anker-Extended-MacBook-Surface-Notebook/dp/B07L32B9C2,$14.99,1,$14.99,This makes it easier to plug peripherals into the onboard mini PC
Accessories,HDMI extender,Amazon,https://www.amazon.com/Extension-Highwings-High-Speed-Compatible-Chromecast/dp/B09MJ3M5NJ,$5.99,1,$5.99,This makes it easier to plug a monitor into the onboard mini PC
